Name,ID,Nb Casiers,Qualité de collecte,Collecteurs disponibles,latitude,longitude,heures,key,date,quantite,demande
ELDORA D'OZ,PDC-001,10.0,TOPISSIME,"['URBY LYON', 'REBOOTEILLE']",45.778564,4.8047629,"[[34, 43], [56.5, 67], [82, 91], [106, 115], [128.5, 139]]", ELDORA D'OZ PDC-001,2022-11-22 00:00:00,4.0,0
PRAIRIAL (GRAP),PDC-002,13.0,NEUTRE,"['GRAP / COOLIVRI', 'URBY LYON', 'REBOOTEILLE']",45.7670877,4.9272064,"[[10, 12], [34, 36], [58, 60], [82, 84], [106, 108], [130, 132], [154, 156]]", PRAIRIAL (GRAP) PDC-002,2022-10-27 00:00:00,4.0,0
3 PTITS POIS (GRAP),PDC-003,15.0,NEUTRE,"['GRAP / COOLIVRI', 'URBY LYON', 'TOUT EN VELO LYON', 'REBOOTEILLE']",45.7483398,4.8392996,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", 3 PTITS POIS (GRAP) PDC-003,2022-11-24 00:00:00,7.0,0
BIERISTAN,PDC-004,10.0,NEUTRE,"['URBY LYON', 'REBOOTEILLE']",45.7679074,4.8835417,"[[36, 40], [56, 64], [80, 88], [104, 112], [128, 136]]", BIERISTAN PDC-004,2022-07-06 00:00:00,8.0,0
PASSION BIERES,PDC-005,12.0,NEUTRE,['REBOOTEILLE'],45.7773144,4.9929864,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", PASSION BIERES PDC-005,2022-10-11 00:00:00,3.0,0
UNE CAVE A BRON,PDC-006,16.0,NEUTRE,"['URBY LYON', 'REBOOTEILLE']",45.7357837,4.9105272,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", UNE CAVE A BRON PDC-006,2022-04-14 00:00:00,6.0,0
EPICERIE PATATE,PDC-011,10.0,NEUTRE,"['URBY LYON', 'REBOOTEILLE']",45.7663633,4.8199289,"[[35, 38], [40, 44], [59, 62], [64, 68], [83, 86], [88, 92], [107, 110], [112, 116], [130.5, 140]]", EPICERIE PATATE PDC-011,2022-05-31 00:00:00,8.0,1
LA SUPER HALLE (GRAP),PDC-012,14.0,TOPISSIME,"['GRAP / COOLIVRI', 'URBY LYON', 'REBOOTEILLE']",45.7129832,4.8200938,"[[10, 11], [34, 35], [58, 59], [82, 83], [106, 107], [130, 131], [154, 155]]", LA SUPER HALLE (GRAP) PDC-012,2022-11-23 00:00:00,3.0,0
MAISON COURGETTE,PDC-014,10.0,NEUTRE,"['URBY LYON', 'REBOOTEILLE']",45.779841,4.8322747,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", MAISON COURGETTE PDC-014,2022-11-22 00:00:00,1.0,0
VRAC EN VILL',PDC-017,12.0,NEUTRE,"['URBY LYON', 'REBOOTEILLE']",45.7636366,4.8711073,"[[10, 18], [34, 42], [58, 66], [82, 90], [106, 114], [130, 138], [154, 162]]", VRAC EN VILL' PDC-017,2022-11-03 00:00:00,7.0,0
CHEZ GAELLE (GRAP),PDC-018,6.0,NEUTRE,"['GRAP / COOLIVRI', 'REBOOTEILLE']",45.6714836,4.8998904,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", CHEZ GAELLE (GRAP) PDC-018,2022-11-24 00:00:00,2.0,0
BIOCOOP VENDOME,PDC-019,14.0,NEUTRE,"['URBY LYON', 'REBOOTEILLE']",45.7601629,4.8467851,"[[8, 18], [32, 42], [56, 66], [80, 90], [104, 114], [128, 138], [152, 162]]", BIOCOOP VENDOME PDC-019,2022-11-07 00:00:00,14.0,1
TOUT PART EN VRAC,PDC-020,12.0,NEUTRE,['REBOOTEILLE'],45.6951848,4.7935316,"[[33.5, 37], [39, 43], [57.5, 61], [63, 67], [81.5, 85], [87, 91], [105.5, 109], [111, 115], [128.5, 139], [153.5, 157], [159, 163]]", TOUT PART EN VRAC PDC-020,2022-06-14 00:00:00,12.0,1
MELTING COOP (GRAP) - ex DEMAIN SUPERMARCHE,PDC-021,20.0,NEUTRE,"['GRAP / COOLIVRI', 'URBY LYON', 'REBOOTEILLE']",45.7291997,4.8299657,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", DEMAIN EPICERIE (GRAP) PDC-021,2022-11-24 00:00:00,6.0,0
BIOCOOP MONTEE DES SOLDATS,PDC-022,40.0,A SURVEILLER,"['URBY LYON', 'REBOOTEILLE']",45.7978637,4.8516281,"[[9, 19.5], [33, 43.5], [57, 67.5], [81, 91.5], [105, 115.5], [129, 139.5], [153, 163.5]]", BIOCOOP MONTEE DES SOLDATS PDC-022,2022-11-23 00:00:00,8.0,0
EPICENTRE,PDC-024,10.0,NEUTRE,"['URBY LYON', 'TOUT EN VELO LYON', 'REBOOTEILLE']",45.7377321,4.8522471,"[[57, 60.5], [62, 68], [81, 84.5], [86, 91], [105, 108.5], [110, 115], [131, 133], [134, 138.5]]", EPICENTRE PDC-024,2022-06-23 00:00:00,7.0,1
BANASTOU ET FOURQUET,PDC-025,12.0,TOPISSIME,"['URBY LYON', 'TOUT EN VELO LYON', 'REBOOTEILLE']",45.7565597,4.8429833,"[[39, 44], [63, 68], [88, 92], [106, 109], [111, 116], [130, 133], [135, 140]]", BANASTOU ET FOURQUET PDC-025,2022-12-05 00:00:00,0.0,0
BOULANGERIE TATUP,PDC-029,20.0,NEUTRE,['REBOOTEILLE'],45.9729539,5.352279,"[[26, 32], [50, 56], [74, 80], [98, 104], [122, 128]]", BOULANGERIE TATUP PDC-029,2022-06-07 00:00:00,3.0,0
BIOCOOP GRATTE-CIEL,PDC-041,24.0,NEUTRE,"['URBY LYON', 'REBOOTEILLE']",45.7694017,4.8808049,"[[9, 19.5], [33, 43.5], [57, 67.5], [81, 91.5], [105, 115.5], [129, 139.5], [153, 163.5]]", BIOCOOP GRATTE-CIEL PDC-041,2022-12-05 00:00:00,0.0,0
BIOCOOP AU P'TIT BIONHEUR,PDC-027,24.0,NEUTRE,"['ENVIE LOIRE', 'REBOOTEILLE']",45.5259174,4.6083249,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", BIOCOOP AU P'TIT BIONHEUR PDC-027,2022-11-25 00:00:00,3.0,0
DE L'AUTRE CÔTE DE LA RUE,PDC-026,10.0,NEUTRE,"['URBY LYON', 'REBOOTEILLE']",45.756448,4.8430183,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", DE L'AUTRE CÔTE DE LA RUE PDC-026,2021-06-29 00:00:00,9.0,0
