Name,Adresse 1,Adresse 2,Code Postal,Ville,Dép.,Nb Casiers,Heure d'ouverture collecte,latitude,longitude,quantity,request,lastCollect,hours,keep
ELDORA D'OZ,7 rue Laporte,,69009,LYON,RHÔNE,10,10h - 19h,45.778564,4.8047629,9,1,1,"[[9, 10], [13, 20]]",True
PRAIRIAL,10 Rue des Droits de l'Homme,,69120,VAULX-EN-VELIN,RHÔNE,13,10h,45.7670877,4.9272064,6,2,4,"[[7, 9], [15, 16]]",True
3 PTITS POIS,124 Rue Sébastien Gryphe,,69007,LYON,RHÔNE,15,,45.7483398,4.8392996,8,0,3,"[[9, 12], [19, 20]]",True
BIERISTAN,14 Rue Paul Lafargue ,,69100,VILLEURBANNE,RHÔNE,10,"du mardi au samedi entre 12h et 16h (A partir du 3 janvier, nous reprenons nos horaires habituels et avons des gens sur place à partir de 12h le mardi, et à partir de 8h du mercredi au samedi)",45.7679074,4.8835417,2,0,2,"[[7, 9], [12, 13]]",True
UNE CAVE A BRON,51 avenue Camille Rousset,,69500,BRON,RHÔNE,16,,45.7357837,4.9105272,16,0,1,"[[9, 17]]",True
EPICERIE PATATE,53 quai Pierre Scize ,,69005,LYON,RHÔNE,10,mar au ven :  11h-14h; 16h-20h.   Sam : 10h30-20h,45.7663633,4.8199289,6,0,2,"[[10, 11]]",True
LA SUPER HALLE,105 Avenue Jean Jaurès,,69600,OULLINS,RHÔNE,17,10h,45.7129832,4.8200938,0,0,2,"[[10, 11], [15, 19]]",True
MAISON COURGETTE,75 Grande Rue de la Croix-Rousse,,69004,LYON,RHÔNE,10,,45.779841,4.8322747,0,0,3,"[[10, 22]]",True
VRAC EN VILL',16 cours Tolstoï ,,69100,VILLEURBANNE,RHÔNE,12,A partir de 10h,45.7636366,4.8711073,3,1,3,"[[10, 12]]",True
BIOCOOP VENDOME,197 rue Vendôme ,,69003,LYON,RHÔNE,14,A partir de 8h,45.7601629,4.8467851,0,0,3,"[[8, 9], [14, 17]]",True
TOUT PART EN VRAC,103 avenue Georges Clémenceau ,,69230,SAINT-GENIS-LAVAL,RHÔNE,0,,45.6951848,4.7935316,0,0,3,"[[10, 12], [14, 15]]",True
DEMAIN EPICERIE,2 Place des Pavillons ,,69007,LYON,RHÔNE,20,,45.7291997,4.8299657,11,0,1,"[[10, 12], [18, 21]]",True
BIOCOOP MONTEE DES SOLDATS,2 Montée des soldats ,,69300,CALUIRE-ET-CUIRE,RHÔNE,40,9h-19h30 (horaires clientèle),45.7978637,4.8516281,17,0,2,"[[10, 12], [14, 20]]",True
EPICENTRE,104 route de Vienne,,69008,LYON,RHÔNE,10,mercredi 9h-12h30 et 14h-20h / jeudi & vendredi  9h-12h30 et 14h-19h / samedi 11h-13h et 14h-18h30,45.7377321,4.8522471,1,2,2,"[[10, 12], [14, 19]]",True
BANASTOU ET FOURQUET,73 cours de la Liberté,,69003,LYON,RHÔNE,12,"- le mardi, mercredi de 15h à 20h - le jeudi, de 16h à 20h - le vendredi et samedi, de 10h à 13h, puis de 15h à 20h",45.7565597,4.8429833,6,1,1,"[[10, 12], [17, 21]]",True
BIOCOOP GRATTE-CIEL,181 Cours Emile Zola,,69100,VILLEURBANNE,RHÔNE,24,9h - 19h30,45.7694017,4.8808049,22,1,4,"[[8, 9], [16, 17], [18, 21]]",True
DE L'AUTRE CÔTE DE LA RUE,75 cours de la Liberté,,69003,LYON,RHÔNE,10,,45.756448,4.8430183,8,3,2,"[[9, 12], [13, 18]]",True
EPICERIE RENARD,96 grande rue,,69600,OULLINS,RHÔNE,12,,45.7154238,4.808406,5,0,4,"[[6, 9], [10, 20]]",True
BIOCOOP LUMIERE,80 avenue des frères Lumière,,69008,LYON,RHÔNE,14,"A partir de 7h, mais pas entre 8h30 et 9h",45.7448492,4.8668437,9,0,2,"[[9, 10], [11, 14]]",True
BIOCOOP BROTTEAUX,68 rue Waldeck Rousseau,,69006,LYON,RHÔNE,12,Fermé entre 14h et 16h éviter ce créneau.,45.7641615,4.8581132,8,0,2,"[[9, 11], [17, 18], [21, 22]]",True
BIOCOOP SAXE GAMBETTA,15 avenue Jean Jaures,,69007,LYON,RHÔNE,14,A partir de 8h,45.7526794,4.8464976,10,0,3,"[[10, 11], [18, 20]]",True
BIOCOOP BIOPLAISIR TASSIN,142 avenue Charles de Gaulle,,69160,TASSIN-LA-DEMI-LUNE,RHÔNE,12,,45.757844,4.7736983,6,1,3,"[[9, 10], [11, 12]]",True
BIOCOOP BIOGONE,31 rue Gervais Bussière,,69100,VILLEURBANNE,RHÔNE,12,Lundi : 13h00 / 19h30 Mardi au samedi : 09h30 / 13h puis 15h / 19h30,45.7740508,4.8699867,3,2,1,"[[7, 9], [15, 21]]",True
BIOCOOP TOTEM,18 Rue de la Convention,,69100,VILLEURBANNE,RHÔNE,12,Lun : 12h 19h30. Mar au sam : 9h30-19h30,45.763529,4.8725306,7,1,1,"[[6, 8]]",True
BIOCOOP DU GROS CAILLOU,1 rue Aimé Boussange,,69004,LYON,RHÔNE,18,"A partir de 8h, idéalement avant 9h.",45.7749549,4.8335813,12,1,3,"[[10, 21]]",True
BIOCOOP TERREAUX,13 rue d’Algérie,,69001,LYON,RHÔNE,20,A partir de 9h,45.767359,4.8310335,15,0,3,"[[6, 12], [17, 20]]",True
BIOCOOP VALMY,40 rue Marietton,,69009,LYON,RHÔNE,20,A partir de 6h30,45.7756018,4.8037413,1,0,3,"[[16, 24]]",True
L'EPICERIE DE LEONIE,48 route de Genève,,69140,RILLIEUX-LA-PAPE,RHÔNE,12,"Préférer les AM - Mardi au jeudi, 16 h-19h30, le vendredi 15 h-19h30, samedi 8h30 - 19h30 non-stop.",45.8066949,4.8893931,7,0,4,"[[8, 12], [19, 20]]",True
