nom,PDC,latitude,longitude,capacite,horaires,quantite,derniere collecte,requete
ELDORA D'OZ, ELDORA D'OZ PDC-001,45.778564,4.8047629,10.0,"[[34, 43], [56.5, 67], [82, 91], [106, 115], [128.5, 139]]",2,2022-12-21,0
PRAIRIAL, PRAIRIAL (GRAP) PDC-002,45.7670877,4.9272064,13.0,"[[10, 12], [34, 36], [58, 60], [82, 84], [106, 108], [130, 132], [154, 156]]",7,2022-10-27,0
3 PTITS POIS, 3 PTITS POIS (GRAP) PDC-003,45.7483398,4.8392996,15.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",8,2022-12-20,0
BIERISTAN, BIERISTAN PDC-004,45.7679074,4.8835417,10.0,"[[36, 40], [56, 64], [80, 88], [104, 112], [128, 136]]",9,2022-07-06,0
PASSION BIERES, PASSION BIERES PDC-005,45.7773144,4.9929864,12.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",2,2022-10-11,0
UNE CAVE A BRON, UNE CAVE A BRON PDC-006,45.7357837,4.9105272,16.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",6,2022-04-14,0
EPICERIE PATATE, EPICERIE PATATE PDC-011,45.7663633,4.8199289,10.0,"[[35, 38], [40, 44], [59, 62], [64, 68], [83, 86], [88, 92], [107, 110], [112, 116], [130.5, 140]]",1,2022-12-06,0
LA SUPER HALLE, LA SUPER HALLE (GRAP) PDC-012,45.7129832,4.8200938,17.0,"[[10, 11], [34, 35], [58, 59], [82, 83], [106, 107], [130, 131], [154, 155]]",12,2022-11-23,1
MAISON COURGETTE, MAISON COURGETTE PDC-014,45.779841,4.8322747,10.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",1,2022-11-22,0
VRAC EN VILL', VRAC EN VILL' PDC-017,45.7636366,4.8711073,12.0,"[[10, 18], [34, 42], [58, 66], [82, 90], [106, 114], [130, 138], [154, 162]]",1,2022-12-31,0
CHEZ GAELLE, CHEZ GAELLE (GRAP) PDC-018,45.6714836,4.8998904,6.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",6,2022-11-24,1
BIOCOOP VENDOME, BIOCOOP VENDOME PDC-019,45.7601629,4.8467851,14.0,"[[8, 18], [32, 42], [56, 66], [80, 90], [104, 114], [128, 138], [152, 162]]",5,2022-12-29,0
TOUT PART EN VRAC, TOUT PART EN VRAC PDC-020,45.6951848,4.7935316,14.0,"[[33.5, 37], [39, 43], [57.5, 61], [63, 67], [81.5, 85], [87, 91], [105.5, 109], [111, 115], [128.5, 139], [153.5, 157], [159, 163]]",1,2022-12-06,0
DEMAIN EPICERIE, DEMAIN EPICERIE (GRAP) PDC-021,45.7291997,4.8299657,20.0,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]",7,2022-12-13,0
BIOCOOP MONTEE DES SOLDATS, BIOCOOP MONTEE DES SOLDATS PDC-022,45.7978637,4.8516281,40.0,"[[9, 19.5], [33, 43.5], [57, 67.5], [81, 91.5], [105, 115.5], [129, 139.5], [153, 163.5]]",32,2022-11-23,0
EPICENTRE, EPICENTRE PDC-024,45.7377321,4.8522471,10.0,"[[57, 60.5], [62, 68], [81, 84.5], [86, 91], [105, 108.5], [110, 115], [131, 133], [134, 138.5]]",9,2022-06-23,0
BANASTOU ET FOURQUET,BANASTOU ET FOURQUET PDC-025,45.7565597,4.8429833,12.0,"[[39, 44], [63, 68], [88, 92], [106, 109], [111, 116], [130, 133], [135, 140]]",2,2023-01-03,0
